semana,prueba,N1_HEX,N2_FAM
1,1,NA,NA
2,1,NA,NA
3,1,NA,NA
4,1,NA,NA
5,1,NA,NA
3,2,35.8,35.77
4,2,42.89,NA
5,2,33.96,34.7
6,2,34.18,44.13
7,2,33.14,34.17
8,2,33.18,32.3
9,2,34.02,33.81
10,3,36.35,34.02
11,3,36.12,32.79
12,3,37.1,33.89
13,3,33.89,31.83
14,3,34.92,31.65
15,3,NA,NA
16,3,36.41,33.2
17,3,35.27,NA
14,4,35.75,NA
17,4,43.77,NA
18,4,NA,NA
19,4,NA,NA
20,4,NA,NA
21,4,36.61,NA
22,5,NA,NA
23,5,37.36,NA
24,5,36.17,35.43
25,5,42.28,NA
26,5,NA,NA
27,5,NA,NA
28,6,37.34,NA
29,6,36.37,37.28
30,6,37.01,NA
31,6,NA,NA
32,6,36.37,39.46
33,7,NA,44.3
34,7,38.96,NA
35,7,39.21,NA
36,7,40.49,40.13
37,7,38.63,40.33
38,7,38.53,NA
