semana,prueba,N1,N2,estado
3,2,35.8,35.77,determinado
4,2,42.89,,no_secuenciado
5,2,33.96,34.7,determinado
6,2,34.18,44.13,determinado
7,2,33.14,34.17,determinado
8,2,33.18,32.3,determinado
9,2,34.02,33.81,determinado
10,3,36.35,34.02,no_determinado
11,3,36.12,32.79,no_determinado
12,3,37.1,33.89,no_determinado
13,3,33.89,31.83,no_determinado
14,3,34.92,31.65,no_determinado
15,3,,,no_determinado
16,3,36.41,33.2,no_determinado
17,3,35.27,,no_determinado
18,4,,,no_secuenciado
19,4,,,no_secuenciado
20,4,,,no_secuenciado
21,4,36.61,,no_determinado
22,5,,,no_secuenciado
23,5,37.36,,no_determinado
24,5,36.17,35.43,no_determinado
25,5,42.28,,no_determinado
26,5,,,no_secuenciado
27,5,,,no_secuenciado
28,6,37.34,,no_determinado
29,6,36.37,37.28,no_determinado
30,6,37.01,,no_determinado
31,6,,,no_determinado
32,6,36.37,39.46,no_determinado
33,7,,44.3,no_secuenciado
34,7,38.96,,no_secuenciado
35,7,39.21,,no_secuenciado
36,7,40.49,40.13,no_secuenciado
37,7,38.63,40.33,no_secuenciado
38,7,38.53,,no_secuenciado
39,8,34.37,34.08,no_secuenciado
40,8,38.07,,no_secuenciado
41,8,36.42,38.63,no_secuenciado
42,8,37.5,39.87,no_secuenciado
