semana,fecha_inicio,secuenciado,resultado_raw,tipo_muestra,conservacion,hallazgo,virus
43,2026-02-02,False,,prospectiva,fresca,no_secuenciado,Poliovirus
44,2026-02-09,False,,prospectiva,fresca,no_secuenciado,Poliovirus
45,2026-02-16,True,Coxsackie A,prospectiva,fresca,Coxsackie A (enterovirus no polio),Poliovirus
46,2026-02-23,True,Coxsackie A,prospectiva,fresca,Coxsackie A (enterovirus no polio),Poliovirus
47,2026-03-02,False,,prospectiva,fresca,no_secuenciado,Poliovirus
48,2026-03-09,False,,prospectiva,fresca,no_secuenciado,Poliovirus
49,2026-03-16,False,,prospectiva,fresca,no_secuenciado,Poliovirus
50,2026-03-23,False,,prospectiva,fresca,no_secuenciado,Poliovirus
51,2026-03-30,False,,prospectiva,fresca,no_secuenciado,Poliovirus
52,2026-04-06,False,,prospectiva,fresca,no_secuenciado,Poliovirus
53,2026-04-13,False,,prospectiva,fresca,no_secuenciado,Poliovirus
54,2026-04-20,False,,prospectiva,fresca,no_secuenciado,Poliovirus
55,2026-04-27,False,,prospectiva,fresca,no_secuenciado,Poliovirus
56,2026-05-04,False,,prospectiva,fresca,no_secuenciado,Poliovirus
17,2025-08-04,False,,retrospectiva,shield_2x,no_secuenciado,Poliovirus
18,2025-08-11,False,,retrospectiva,shield_2x,no_secuenciado,Poliovirus
19,2025-08-18,False,,retrospectiva,shield_2x,no_secuenciado,Poliovirus
20,2025-08-25,False,,retrospectiva,shield_2x,no_secuenciado,Poliovirus
34,2025-12-01,False,,retrospectiva,pbs_1x,no_secuenciado,Poliovirus
35,2025-12-08,False,,retrospectiva,pbs_1x,no_secuenciado,Poliovirus
36,2025-12-15,False,,retrospectiva,pbs_1x,no_secuenciado,Poliovirus
37,2025-12-22,False,,retrospectiva,pbs_1x,no_secuenciado,Poliovirus
