semana,fecha_inicio,secuenciado,resultado_raw,clado,linaje,estado,virus,tipo_muestra,conservacion
1,2025-04-14,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
2,2025-04-21,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
3,2025-04-28,True,Clado 24A; linaje JN.1,24A,JN.1,determinado,SARS-CoV-2,prospectiva,fresca
4,2025-05-05,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
5,2025-05-12,True,Clado 24A; linaje LZ.5,24A,LZ.5,determinado,SARS-CoV-2,prospectiva,fresca
6,2025-05-19,True,Clado 24A; linaje JN.1,24A,JN.1,determinado,SARS-CoV-2,prospectiva,fresca
7,2025-05-26,True,Clado 24A; linaje LZ.5,24A,LZ.5,determinado,SARS-CoV-2,prospectiva,fresca
8,2025-06-02,True,Clado 24A; linaje LU.2.1.1,24A,LU.2.1.1,determinado,SARS-CoV-2,prospectiva,fresca
9,2025-06-09,True,Clado 24H; Linaje LF.7.1.3,24H,LF.7.1.3,determinado,SARS-CoV-2,prospectiva,fresca
10,2025-06-16,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
11,2025-06-23,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
12,2025-06-30,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
13,2025-07-07,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
14,2025-07-14,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
15,2025-07-21,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
16,2025-07-28,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
17,2025-08-04,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
18,2025-08-11,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
19,2025-08-18,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
20,2025-08-25,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
21,2025-09-01,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
22,2025-09-08,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
23,2025-09-15,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
24,2025-09-22,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
25,2025-09-29,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
26,2025-10-06,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
27,2025-10-13,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
28,2025-10-20,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
29,2025-10-27,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
30,2025-11-03,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
31,2025-11-10,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
32,2025-11-17,True,No se logra determinar,,,no_determinado,SARS-CoV-2,prospectiva,fresca
33,2025-11-24,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
34,2025-12-01,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
35,2025-12-08,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
36,2025-12-15,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
37,2025-12-22,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
38,2025-12-29,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
39,2026-01-05,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
40,2026-01-12,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
41,2026-01-19,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
42,2026-01-26,False,,,,no_secuenciado,SARS-CoV-2,prospectiva,fresca
